link	name	id
http://car.autohome.com.cn/shuyu/detail_18_19_567.html	车型名称	567
http://car.autohome.com.cn/shuyu/detail_18_19_219.html	厂商指导价(元)	219
http://car.autohome.com.cn/shuyu/detail_18_19_218.html	厂商	218
http://car.autohome.com.cn/shuyu/detail_18_19_220.html	级别	220
http://car.autohome.com.cn/shuyu/detail_8_9_555.html	发动机	555
http://car.autohome.com.cn/shuyu/detail_18_19_222.html	长*宽*高(mm)	222
http://car.autohome.com.cn/shuyu/detail_3_4_281.html	车身结构	281
http://car.autohome.com.cn/shuyu/detail_18_19_267.html	最高车速(km/h)	267
http://car.autohome.com.cn/shuyu/detail_18_19_225.html	官方0-100km/h加速(s)	225
http://car.autohome.com.cn/shuyu/detail_18_19_272.html	实测0-100km/h加速(s)	272
http://car.autohome.com.cn/shuyu/detail_18_19_273.html	实测100-0km/h制动(m)	273
http://car.autohome.com.cn/shuyu/detail_18_19_243.html	实测油耗(L/100km)	243
http://car.autohome.com.cn/shuyu/detail_18_19_271.html	工信部综合油耗(L/100km)	271
http://car.autohome.com.cn/shuyu/detail_18_20_306.html	实测离地间隙(mm)	306
http://car.autohome.com.cn/shuyu/detail_18_19_274.html	整车质保	274
http://car.autohome.com.cn/shuyu/detail_18_20_275.html	长度(mm)	275
http://car.autohome.com.cn/shuyu/detail_18_20_276.html	宽度(mm)	276
http://car.autohome.com.cn/shuyu/detail_18_20_277.html	高度(mm)	277
http://car.autohome.com.cn/shuyu/detail_3_4_132.html	轴距(mm)	132
http://car.autohome.com.cn/shuyu/detail_18_20_278.html	前轮距(mm)	278
http://car.autohome.com.cn/shuyu/detail_18_20_638.html	后轮距(mm)	638
http://car.autohome.com.cn/shuyu/detail_18_20_279.html	最小离地间隙(mm)	279
http://car.autohome.com.cn/shuyu/detail_18_20_280.html	整备质量(kg)	280
http://car.autohome.com.cn/shuyu/detail_18_20_282.html	车门数(个)	282
http://car.autohome.com.cn/shuyu/detail_18_20_283.html	座位数(个)	283
http://car.autohome.com.cn/shuyu/detail_18_20_284.html	油箱容积(L)	284
http://car.autohome.com.cn/shuyu/detail_18_20_285.html	行李厢容积(L)	285
http://car.autohome.com.cn/shuyu/detail_18_21_570.html	发动机型号	570
http://car.autohome.com.cn/shuyu/detail_18_21_287.html	排量(mL)	287
http://car.autohome.com.cn/shuyu/detail_18_21_640.html	进气形式	640
http://car.autohome.com.cn/shuyu/detail_8_9_289.html	气缸排列形式	289
http://car.autohome.com.cn/shuyu/detail_18_21_290.html	气缸数(个)	290
